"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Apr 29 15:56:02 IST 2024","Mon Apr 29 15:56:15 IST 2024","12371","template spec","","","","","passes",""
"passed","Mon Apr 29 15:56:15 IST 2024","Mon Apr 29 15:56:15 IST 2024","78","template spec","","","","","output",""
